grid_id,name,wikipedia_url,email_address,established
grid.1489.4,Lions Eye Institute,https://en.wikipedia.org/wiki/Lions_Eye_Institute,,1975
grid.1491.d,Mater Health Services,https://en.wikipedia.org/wiki/Mater_Health_Services,"",1906
grid.1504.0,Pilkington,https://en.wikipedia.org/wiki/Pilkington,,1826
grid.1527.1,Bureau of Meteorology (Australia),,,
grid.1543.3,Trojan Technologies,"",,1976
grid.1623.6,Alfred Hospital,https://en.wikipedia.org/wiki/The_Alfred_Hospital,,1871
grid.1649.a,Sahlgrenska University Hospital,https://en.wikipedia.org/wiki/Sahlgrenska_University_Hospital,,1772
grid.1658.a,Washington State Department of Health,https://en.wikipedia.org/wiki/Washington_State_Department_of_Health,,1986
grid.1680.f,New South Wales Department of Primary Industries,https://en.wikipedia.org/wiki/Department_of_Primary_Industries_(New_South_Wales),,2004
grid.1694.a,Women's and Children's Hospital,https://en.wikipedia.org/wiki/Women's_and_Children's_Hospital,"",1989
grid.1743.1,Mott Macdonald,https://en.wikipedia.org/wiki/Mott_MacDonald,,1989
grid.1957.a,Rheinisch-Westfälische Technische Hochschule Aachen University,http://en.wikipedia.org/wiki/RWTH_Aachen_University,,1870
grid.2134.4,Nortel (Canada),http://en.wikipedia.org/wiki/Nortel,"",1895
grid.2294.d,Luther College,https://en.wikipedia.org/wiki/Luther_College_(Iowa),,1861
grid.2483.d,Xstrata,https://en.wikipedia.org/wiki/Xstrata,,1926
grid.2515.3,Boston Children's Hospital,https://en.wikipedia.org/wiki/Boston_Children%27s_Hospital,,1869
grid.2678.b,Environment Agency,https://en.wikipedia.org/wiki/Environment_Agency,,1996
grid.2710.4,Landcare Research New Zealand Limited,,,
grid.2824.c,Pathwest Laboratory Medicine,"",,2005
grid.2865.9,United States Geological Survey,https://en.wikipedia.org/wiki/United_States_Geological_Survey,,1879
grid.2875.8,Teck (Canada),"","",
grid.3006.5,Hunter New England Health,"",,
grid.3263.4,Cancer Council Victoria,https://en.wikipedia.org/wiki/Cancer_Council_Victoria,"",1936
grid.3319.8,BASF (Germany),http://en.wikipedia.org/wiki/BASF,,1865
grid.3393.a,Hypres,"",,1983
grid.3474.4,J. Craig Venter Institute,https://en.wikipedia.org/wiki/J._Craig_Venter_Institute,,2006
grid.3521.5,Sir Charles Gairdner Hospital,https://en.wikipedia.org/wiki/Sir_Charles_Gairdner_Hospital,"",1958
grid.3532.7,National Oceanic and Atmospheric Administration (NOAA),http://en.wikipedia.org/wiki/National_Oceanic_and_Atmospheric_Administration,,1807
grid.3575.4,World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization,"",1948
grid.3613.7,Boys Town,https://en.wikipedia.org/wiki/Boys_Town_(organization),,1917
grid.3973.e,Olympus (Australia),,,
grid.4241.3,National Technical University of Athens,http://en.wikipedia.org/wiki/National_Technical_University_of_Athens,,1836
grid.4268.8,National University of Benin,"","",
grid.4269.9,UK Coal,https://en.wikipedia.org/wiki/UK_Coal,,1974
grid.4278.9,Nuclear Research Institute Rez (Czech Republic),,,
grid.4280.e,National University of Singapore,http://en.wikipedia.org/wiki/National_University_of_Singapore,,1905
grid.4293.c,National Institute for Astrophysics (INAF),http://en.wikipedia.org/wiki/INAF,"",1999
grid.4299.6,Austrian Academy of Sciences (OAW),http://en.wikipedia.org/wiki/Austrian_Academy_of_Sciences,,1921
grid.4305.2,University of Edinburgh,http://en.wikipedia.org/wiki/University_of_Edinburgh,"",1582
grid.4307.0,Paris Observatory,"",,
grid.4319.f,SINTEF,https://en.wikipedia.org/wiki/SINTEF,,1950
grid.4332.6,Austrian Institute of Technology,https://en.wikipedia.org/wiki/Austrian_Institute_of_Technology,,1956
grid.4336.2,National Institute of Oceanography and Experimental Geophysics,"",,
grid.4347.4,Engineering (Italy),,,
grid.4365.4,Office National d'Études et de Recherches Aérospatiales,https://en.wikipedia.org/wiki/ONERA,,1946
grid.4367.6,Washington University in St. Louis,http://en.wikipedia.org/wiki/Washington_University_in_St._Louis,"",1853
grid.4372.2,Max Planck Society (MPG),http://en.wikipedia.org/wiki/Max_Planck_Society,"",1948
grid.4391.f,Oregon State University,http://en.wikipedia.org/wiki/Oregon_State_University,,1868
grid.4399.7,Institute of Research for Development,https://en.wikipedia.org/wiki/Institut_de_recherche_pour_le_d%C3%A9veloppement,,1937
grid.4411.0,Oesterreichische Studiengesellschaft Fuer Kybernetik,"",,1969
grid.4422.0,Ocean University of China,http://en.wikipedia.org/wiki/Ocean_University_of_China,,1924
grid.4425.7,Liverpool John Moores University,http://en.wikipedia.org/wiki/Liverpool_John_Moores_University,,1823
grid.4437.4,Pan American Health Organization,https://en.wikipedia.org/wiki/Pan_American_Health_Organization,,1902
grid.4444.0,French National Centre for Scientific Research (CNRS),http://en.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique,"",1939
grid.4461.7,Lille 1 University,http://en.wikipedia.org/wiki/Lille_University_of_Science_and_Technology,"",1854
grid.4462.4,University of Malta,http://en.wikipedia.org/wiki/University_of_Malta,,1769
grid.4463.5,University of Piraeus,http://en.wikipedia.org/wiki/University_of_Piraeus,,1938
grid.4464.2,University of London,http://en.wikipedia.org/wiki/University_of_London,"",1836
grid.4466.0,Polytechnic University of Bari,http://en.wikipedia.org/wiki/Polytechnic_University_of_Bari,"",1990
grid.4488.0,Dresden University of Technology,http://en.wikipedia.org/wiki/Dresden_University_of_Technology,,1828
grid.4489.1,University of Granada,http://en.wikipedia.org/wiki/University_of_Granada,"",1531
grid.4491.8,Charles University in Prague,http://en.wikipedia.org/wiki/Charles_University_in_Prague,"",1348
grid.4494.d,University Medical Center Groningen,https://en.wikipedia.org/wiki/University_Medical_Center_Groningen,,2005
grid.4495.c,Wrocław Medical University,https://en.wikipedia.org/wiki/Wroc%C5%82aw_Medical_University,,1950
grid.4514.4,Lund University,http://en.wikipedia.org/wiki/Lund_University,,1666
grid.4521.2,University of Las Palmas de Gran Canaria,http://en.wikipedia.org/wiki/University_of_Las_Palmas_de_Gran_Canaria,,1989
grid.4527.4,Mario Negri Institute for Pharmacological Research (IRCCS),https://en.wikipedia.org/wiki/Mario_Negri_Institute_for_Pharmacological_Research,,1961
grid.4551.5,Polytechnic University of Bucharest,http://en.wikipedia.org/wiki/Politehnica_University_of_Bucharest,,1864
grid.4556.2,Potsdam Institute for Climate Impact Research (LG),http://en.wikipedia.org/wiki/Potsdam_Institute_for_Climate_Impact_Research,,1992
grid.4561.6,Fraunhofer Society (FHG),http://en.wikipedia.org/wiki/Fraunhofer_Society,,1949
grid.4562.5,University of Lubeck,http://en.wikipedia.org/wiki/University_of_L%C3%BCbeck,"",1964
grid.4563.4,University of Nottingham,http://en.wikipedia.org/wiki/University_of_Nottingham,,1881
grid.4567.0,Helmholtz Zentrum München (HZ),http://en.wikipedia.org/wiki/Helmholtz_Zentrum_M%C3%BCnchen,,1964
grid.4578.e,Institute of Transport Economics,https://en.wikipedia.org/wiki/Institute_of_Transport_Economics,,1954
grid.4605.7,Novosibirsk State University,http://en.wikipedia.org/wiki/Novosibirsk_State_University,,1959
grid.4612.1,Institute of Electron Technology,"",,1966
grid.4616.5,Institute of Fundamental Technological Research (PAN),"",,1952
grid.4643.5,Polytechnic University of Milan,http://en.wikipedia.org/wiki/Polytechnic_University_of_Milan,,1863
grid.4655.2,Copenhagen Business School,https://en.wikipedia.org/wiki/Copenhagen_Business_School,,1917
grid.4691.a,University of Naples Federico II,http://en.wikipedia.org/wiki/University_of_Naples_Federico_II,,1224
grid.4694.f,Public Power Corporation (Greece),http://en.wikipedia.org/wiki/Public_Power_Corporation_S.A.,,1950
grid.4701.2,University of Portsmouth,http://en.wikipedia.org/wiki/University_of_Portsmouth,,1869
grid.4708.b,University of Milan,http://en.wikipedia.org/wiki/University_of_Milan,,1924
grid.4709.a,European Molecular Biology Laboratory,http://en.wikipedia.org/wiki/European_Molecular_Biology_Laboratory,,1974
grid.4711.3,Spanish National Research Council (CSIC),http://en.wikipedia.org/wiki/Spanish_National_Research_Council,"",1939
grid.4714.6,Karolinska Institute,http://en.wikipedia.org/wiki/Karolinska_Institutet,,1810
grid.4748.f,PSA Peugeot Citroën (France),,,
grid.4756.0,London South Bank University,http://en.wikipedia.org/wiki/London_South_Bank_University,"",1892
grid.4764.1,Physikalisch-Technische Bundesanstalt,https://en.wikipedia.org/wiki/Physikalisch-Technische_Bundesanstalt,,1887
grid.4777.3,Queen's University Belfast,http://en.wikipedia.org/wiki/Queen's_University_Belfast,,1810
grid.4793.9,Aristotle University of Thessaloniki,http://en.wikipedia.org/wiki/Aristotle_University_of_Thessaloniki,"",1925
grid.4795.f,Complutense University of Madrid,http://en.wikipedia.org/wiki/Complutense_University_of_Madrid,,1293
grid.4800.c,Polytechnic University of Turin,http://en.wikipedia.org/wiki/Polytechnic_University_of_Turin,"",1859
grid.4807.b,University of Leon,http://en.wikipedia.org/wiki/University_of_Le%C3%B3n,"",1979
grid.4808.4,University of Zagreb,http://en.wikipedia.org/wiki/University_of_Zagreb,,1669
grid.4817.a,University of Nantes,http://en.wikipedia.org/wiki/University_of_Nantes,,1460
grid.4818.5,Wageningen UR,http://en.wikipedia.org/wiki/Wageningen_University_and_Research_Centre,"",1918
grid.4819.4,Weihenstephan-Triesdorf University of Applied Sciences,http://en.wikipedia.org/wiki/Hochschule_Weihenstephan-Triesdorf,"",1971
grid.4825.b,French Research Institute for Exploitation of the Sea,https://en.wikipedia.org/wiki/IFREMER,,1984
grid.4827.9,Swansea University,http://en.wikipedia.org/wiki/Swansea_University,,1920
grid.4828.6,Montpellier 2 University,http://en.wikipedia.org/wiki/Montpellier_2_University,,1970
grid.4830.f,University of Groningen,http://en.wikipedia.org/wiki/University_of_Groningen,,1614
grid.4831.e,Papiertechnische Stiftung (Germany),"",,1951
grid.4834.b,Foundation for Research and Technology Hellas,https://en.wikipedia.org/wiki/Foundation_for_Research_%26_Technology_%E2%80%93_Hellas,,1983
grid.4836.9,Computer and Automation Research Institute (MTA),"https://en.wikipedia.org/wiki/The_Computer_and_Automation_Research_Institute,_Hungarian_Academy_of_Sciences",,1964
grid.4839.6,Pontifical Catholic University of Rio de Janeiro,http://en.wikipedia.org/wiki/Pontifical_Catholic_University_of_Rio_de_Janeiro,,1940
grid.4842.a,University of Hradec Králové,http://en.wikipedia.org/wiki/University_of_Hradec_Kr%C3%A1lov%C3%A9,,1964
grid.4843.b,Welding Institute,http://en.wikipedia.org/wiki/The_Welding_Institute,,1968
grid.4857.e,Pera (United Kingdom),"","",1946
grid.4858.1,Netherlands Organisation for Applied Scientific Research,https://en.wikipedia.org/wiki/Netherlands_Organisation_for_Applied_Scientific_Research,,1932
grid.4861.b,University of Liège,http://en.wikipedia.org/wiki/University_of_Li%C3%A8ge,"",1817
grid.4862.8,Glyndwr University,http://en.wikipedia.org/wiki/Glynd%C5%B5r_University,,1887
grid.4868.2,Queen Mary University of London,http://en.wikipedia.org/wiki/Queen_Mary_University_of_London,,1785
grid.4886.2,Russian Academy of Sciences (RAS),http://en.wikipedia.org/wiki/Russian_Academy_of_Sciences,"",1724
grid.4903.e,Royal Botanic Gardens,"http://en.wikipedia.org/wiki/Royal_Botanic_Gardens,_Kew","",
grid.4905.8,Rudjer Boskovic Institute,https://en.wikipedia.org/wiki/Ru%C4%91er_Bo%C5%A1kovi%C4%87_Institute,,1950
grid.4912.e,Royal College of Surgeons in Ireland,http://en.wikipedia.org/wiki/Royal_College_of_Surgeons_in_Ireland,,1784
grid.4928.7,Regienov Groupement D Interet Economique,"",,
grid.4929.6,Renault (France),,,
grid.4947.e,Agenzia Regionale Prevenzione E Ambiente Della Regione Emilia-Romagna,"",,1995
grid.4970.a,Royal Holloway University of London,"http://en.wikipedia.org/wiki/Royal_Holloway,_University_of_London",,1985
grid.4973.9,Copenhagen University Hospital,https://en.wikipedia.org/wiki/Copenhagen_University_Hospital,,1757
grid.4987.2,Atomic Energy Research Institute,"",,1950
grid.4989.c,Université Libre de Bruxelles,http://en.wikipedia.org/wiki/Universit%C3%A9_libre_de_Bruxelles,"",1834
grid.4991.5,University of Oxford,http://en.wikipedia.org/wiki/University_of_Oxford,"",1096
grid.4994.0,Brno University of Technology,http://en.wikipedia.org/wiki/Brno_University_of_Technology,,1899
