country_name,country_iso,region_iso,region_name,country_centroid,region_centroid
Pakistan,PAK,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[69.3413448164733,29.9484980201229]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Palau,PLW,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[134.338022075536,7.17335427898996]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Palestine,PSX,,,"{""type"":""Point"",""coordinates"":[35.1978137071686,31.91608514429]}",
Panama,PAN,AMR,America,"{""type"":""Point"",""coordinates"":[-80.1212840460419,8.51456228871774]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Papua New Guinea,PNG,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[145.231530637091,-6.47012075449271]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Paraguay,PRY,AMR,America,"{""type"":""Point"",""coordinates"":[-58.3984158108263,-23.2275233673377]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Peru,PER,AMR,America,"{""type"":""Point"",""coordinates"":[-74.3780646509706,-9.15438724072046]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Philippines,PHL,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[122.874360415246,11.76347992407]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Pitcairn Islands,PCN,,,"{""type"":""Point"",""coordinates"":[-128.478751250377,-24.4128052987708]}",
Poland,POL,EUR,Europe,"{""type"":""Point"",""coordinates"":[19.3943240413838,52.1247748386998]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Portugal,PRT,EUR,Europe,"{""type"":""Point"",""coordinates"":[-8.59083752182298,39.5871461466147]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Puerto Rico,PRI,,,"{""type"":""Point"",""coordinates"":[-66.4676002926035,18.2238164656481]}",
Qatar,QAT,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[51.1870951093337,25.3129408878777]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
