country_name,country_iso,region_iso,region_name,country_centroid,region_centroid
Cameroon,CMR,AFR,Africa,"{""type"":""Point"",""coordinates"":[12.7369847465657,5.6930593905529]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Canada,CAN,AMR,America,"{""type"":""Point"",""coordinates"":[-98.2938994464131,61.3764627432318]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Cape Verde,CPV,AFR,Africa,"{""type"":""Point"",""coordinates"":[-23.9672397660169,15.9361402424859]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Cayman Islands,CYM,,,"{""type"":""Point"",""coordinates"":[-80.8770258927258,19.4263311635148]}",
Central African Republic,CAF,AFR,Africa,"{""type"":""Point"",""coordinates"":[20.464809335291,6.56632212922487]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Chad,TCD,AFR,Africa,"{""type"":""Point"",""coordinates"":[18.6462513844773,15.3330762866566]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Chile,CHL,AMR,America,"{""type"":""Point"",""coordinates"":[-71.3643727120121,-37.7436220064918]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
China,CHN,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[103.831572138619,36.5601153323013]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Colombia,COL,AMR,America,"{""type"":""Point"",""coordinates"":[-73.0838425104235,3.90941099125651]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Comoros,COM,AFR,Africa,"{""type"":""Point"",""coordinates"":[43.6801642831497,-11.8842165320115]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Cook Islands,COK,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[-158.791213604876,-19.8145085499271]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Costa Rica,CRI,AMR,America,"{""type"":""Point"",""coordinates"":[-84.1935977833319,9.97330942040159]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Croatia,HRV,EUR,Europe,"{""type"":""Point"",""coordinates"":[16.3985484873628,45.0677261790089]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Cuba,CUB,AMR,America,"{""type"":""Point"",""coordinates"":[-79.0352114857275,21.6252980133963]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Curaçao,CUW,,,"{""type"":""Point"",""coordinates"":[-68.9713056069421,12.1938210893964]}",
Cyprus,CYP,EUR,Europe,"{""type"":""Point"",""coordinates"":[32.9894801034929,34.9151652970483]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Czech Republic,CZE,EUR,Europe,"{""type"":""Point"",""coordinates"":[15.3141035695486,49.7324481057994]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Democratic Republic of the Congo,COD,AFR,Africa,"{""type"":""Point"",""coordinates"":[23.6451134169132,-2.87980080524533]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Denmark,DNK,EUR,Europe,"{""type"":""Point"",""coordinates"":[10.0513900384038,55.9653776049047]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Djibouti,DJI,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[42.5664533213664,11.750156034763]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Dominica,DMA,AMR,America,"{""type"":""Point"",""coordinates"":[-61.3569197683636,15.4364413790002]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Dominican Republic,DOM,AMR,America,"{""type"":""Point"",""coordinates"":[-70.4965858091086,18.8963660554993]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
East Timor,TLS,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[125.851073956788,-8.82377794589219]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
Ecuador,ECU,AMR,America,"{""type"":""Point"",""coordinates"":[-78.7722798878507,-1.42624024539155]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Egypt,EGY,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[29.8612110039212,26.4929212411641]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
El Salvador,SLV,AMR,America,"{""type"":""Point"",""coordinates"":[-88.872215352021,13.7364528331653]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Equatorial Guinea,GNQ,AFR,Africa,"{""type"":""Point"",""coordinates"":[10.3328962274174,1.70696682578179]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Eritrea,ERI,AFR,Africa,"{""type"":""Point"",""coordinates"":[38.8529483599774,15.3575128253482]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Estonia,EST,EUR,Europe,"{""type"":""Point"",""coordinates"":[25.5357944814772,58.6710146560677]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Ethiopia,ETH,AFR,Africa,"{""type"":""Point"",""coordinates"":[39.6005601935365,8.62294767761304]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Falkland Islands,FLK,,,"{""type"":""Point"",""coordinates"":[-59.3761023206062,-51.733307714921]}",
Faroe Islands,FRO,,,"{""type"":""Point"",""coordinates"":[-6.87055477607525,62.0740272548197]}",
Federated States of Micronesia,FSM,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[155.196362209173,7.04492172668834]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Fiji,FJI,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[163.408088783556,-17.4475646320886]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Finland,FIN,EUR,Europe,"{""type"":""Point"",""coordinates"":[26.2707949188874,64.495359044444]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
France,FRA,EUR,Europe,"{""type"":""Point"",""coordinates"":[-2.75526305103322,42.1800916922528]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
French Polynesia,PYF,,,"{""type"":""Point"",""coordinates"":[-145.052037270372,-15.1887835893329]}",
French Southern and Antarctic Lands,ATF,,,"{""type"":""Point"",""coordinates"":[68.9918137221,-49.064848436522]}",
Gabon,GAB,AFR,Africa,"{""type"":""Point"",""coordinates"":[11.789570669372,-0.591659992711982]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Gambia,GMB,AFR,Africa,"{""type"":""Point"",""coordinates"":[-15.3975671976139,13.449738171406]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Georgia,GEO,EUR,Europe,"{""type"":""Point"",""coordinates"":[43.5075268544333,42.168800534162]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Germany,DEU,EUR,Europe,"{""type"":""Point"",""coordinates"":[10.3814940079017,51.1063633282237]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Ghana,GHA,AFR,Africa,"{""type"":""Point"",""coordinates"":[-1.21652198248777,7.95394975664051]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Greece,GRC,EUR,Europe,"{""type"":""Point"",""coordinates"":[22.9748187855072,39.0511812243103]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Greenland,GRL,,,"{""type"":""Point"",""coordinates"":[-41.3457124684694,74.73598389569]}",
Grenada,GRD,AMR,America,"{""type"":""Point"",""coordinates"":[-61.656682383414,12.1533724043988]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Guam,GUM,,,"{""type"":""Point"",""coordinates"":[144.77193912035,13.4437930176088]}",
Guatemala,GTM,AMR,America,"{""type"":""Point"",""coordinates"":[-90.3601558303913,15.6959770338361]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Guernsey,GGY,,,"{""type"":""Point"",""coordinates"":[-2.53163470679729,49.4845173700611]}",
Guinea,GIN,AFR,Africa,"{""type"":""Point"",""coordinates"":[-10.9430613473468,10.4346490077169]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Guinea Bissau,GNB,AFR,Africa,"{""type"":""Point"",""coordinates"":[-14.9775135436489,12.0269259607419]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Guyana,GUY,AMR,America,"{""type"":""Point"",""coordinates"":[-58.9801099406094,4.79345997051215]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Haiti,HTI,AMR,America,"{""type"":""Point"",""coordinates"":[-72.6908741658903,18.9383713025561]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Heard Island and McDonald Islands,HMD,,,"{""type"":""Point"",""coordinates"":[73.5052101890139,-53.0888170255189]}",
Honduras,HND,AMR,America,"{""type"":""Point"",""coordinates"":[-86.6254556959048,14.8206768077077]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Hong Kong S.A.R.,HKG,,,"{""type"":""Point"",""coordinates"":[114.131447371546,22.3846393055427]}",
Hungary,HUN,EUR,Europe,"{""type"":""Point"",""coordinates"":[19.3967591698094,47.163243571699]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Iceland,ISL,EUR,Europe,"{""type"":""Point"",""coordinates"":[-18.5964459670406,64.9983158504626]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
India,IND,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[79.6157206707263,22.8879519600984]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
Indian Ocean Territories,IOA,,,"{""type"":""Point"",""coordinates"":[104.619397435858,-10.6921740927251]}",
Indonesia,IDN,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[117.270441955278,-2.22296240249234]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
Iran,IRN,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[54.2769437960388,32.5707222199373]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Iraq,IRQ,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[43.7449810393797,33.0398101409132]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Ireland,IRL,EUR,Europe,"{""type"":""Point"",""coordinates"":[-8.14504426443892,53.1782213061145]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Isle of Man,IMN,,,"{""type"":""Point"",""coordinates"":[-4.53489608650219,54.2283439412466]}",
Israel,ISR,EUR,Europe,"{""type"":""Point"",""coordinates"":[34.9960300346214,31.4439614213194]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Italy,ITA,EUR,Europe,"{""type"":""Point"",""coordinates"":[12.0718066609354,42.7865012868829]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Ivory Coast,CIV,AFR,Africa,"{""type"":""Point"",""coordinates"":[-5.56900017052345,7.62796642320811]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Jamaica,JAM,AMR,America,"{""type"":""Point"",""coordinates"":[-77.3188100596362,18.1552262880389]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Japan,JPN,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[137.978294381611,37.5511344720931]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Jersey,JEY,,,"{""type"":""Point"",""coordinates"":[-2.12743081433135,49.2210642114472]}",
Jordan,JOR,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[36.7709408266685,31.2455875338769]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Kazakhstan,KAZ,EUR,Europe,"{""type"":""Point"",""coordinates"":[67.2959618871314,48.1606512125274]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Kenya,KEN,AFR,Africa,"{""type"":""Point"",""coordinates"":[37.8224398057361,0.550764513426703]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Kiribati,KIR,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[-51.5228078690024,0.615222138780176]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Kosovo,KOS,,,"{""type"":""Point"",""coordinates"":[20.873744025956,42.5728834979902]}",
Kuwait,KWT,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[47.5946164702103,29.3400312219248]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Kyrgyzstan,KGZ,EUR,Europe,"{""type"":""Point"",""coordinates"":[74.541669486764,41.4619185843644]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Laos,LAO,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[103.737872492359,18.5023014117136]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Latvia,LVA,EUR,Europe,"{""type"":""Point"",""coordinates"":[24.9086217574951,56.8518194767844]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Lebanon,LBN,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[35.8799361541043,33.9203591052017]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Lesotho,LSO,AFR,Africa,"{""type"":""Point"",""coordinates"":[28.2286230612086,-29.5797304242297]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Liberia,LBR,AFR,Africa,"{""type"":""Point"",""coordinates"":[-9.3198642259657,6.45223283263937]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Libya,LBY,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[18.0096067193539,27.0302777237835]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Liechtenstein,LIE,,,"{""type"":""Point"",""coordinates"":[9.54090028872932,47.1382064296817]}",
Lithuania,LTU,EUR,Europe,"{""type"":""Point"",""coordinates"":[23.8882490001133,55.3270234682994]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
